epoch,lr,train_loss,train_acc,test_loss,test_acc,time_sec
1,0.1,2.4933472583770753,16.796,1.9483595005035401,27.48,28.96709632873535
2,0.1,1.6031483480072022,39.422,1.3944992362976074,48.65,26.098958492279053
3,0.1,1.2009594955062866,56.398,1.076852993774414,61.44,25.879075288772583
4,0.1,0.9354639349746704,66.94,1.0324221466064454,63.32,25.896034955978394
5,0.1,0.7783966813468933,72.988,0.874043244934082,69.28,26.073879718780518
6,0.1,0.6891428681373596,76.404,0.9530135169029236,68.88,25.884875297546387
7,0.1,0.6516266601753234,77.842,1.0523338659286499,67.29,25.949116706848145
8,0.1,0.6077900478553772,79.274,0.8805796255111694,71.39,25.93689775466919
9,0.1,0.5801303495407104,80.302,0.6089994760513305,79.87,25.8664653301239
10,0.1,0.5580203085136414,81.038,0.7273947276115418,76.26,25.894772052764893
11,0.1,0.5455830496883393,81.482,0.6421752013206482,78.56,25.940044164657593
12,0.1,0.5307229525375367,82.082,0.8141796367645263,72.27,25.97277069091797
13,0.1,0.5119129627132416,82.702,0.7708484752655029,75.32,25.924367427825928
14,0.1,0.504185381565094,82.958,0.6533974515914917,77.8,25.93772530555725
15,0.1,0.49761007915496824,83.166,0.49758557720184327,82.74,25.923804998397827
16,0.1,0.4843480134010315,83.562,0.9695570640563965,71.71,25.92920184135437
17,0.1,0.4718519291305542,84.216,0.6565041383266449,77.91,25.87477707862854
18,0.1,0.4716699859428406,84.024,0.6721163814544677,78.08,26.001194953918457
19,0.1,0.46765031883239744,84.224,0.5281673871040344,82.44,25.915640354156494
20,0.1,0.45907569622039796,84.45,0.5810871170043945,80.51,25.91136145591736
21,0.1,0.45613263027191164,84.632,0.7459920622348786,76.95,25.988884210586548
22,0.1,0.4441996423816681,85.002,0.6946090838432312,76.57,25.90313982963562
23,0.1,0.4466963905715942,84.736,0.4567024777889252,84.69,25.94312620162964
24,0.1,0.4414290573501587,85.184,0.7458114362716675,77.22,25.920646905899048
25,0.1,0.43715018827438357,85.19,0.6805934232711792,77.54,25.917763471603394
26,0.1,0.4401298371219635,85.246,0.4649956015586853,84.44,25.9310200214386
27,0.1,0.42819927223205567,85.604,0.7599248429298401,75.61,25.977872848510742
28,0.1,0.43244062162399294,85.456,0.6022164904594421,79.85,26.11115288734436
29,0.1,0.4267931867790222,85.798,0.8838150259971619,74.37,25.955600023269653
30,0.1,0.42677294320106507,85.664,0.7293108736038209,76.21,25.93095850944519
31,0.1,0.42670363233566283,85.612,0.624219212436676,79.65,25.906896591186523
32,0.1,0.4239707673454285,85.632,0.7453087182044983,76.13,26.00061535835266
33,0.1,0.4142285123348236,85.99,0.640441037273407,79.16,25.89711880683899
34,0.1,0.4167686655712128,85.94,0.5546873511314392,81.16,25.913447618484497
35,0.1,0.4078062676811218,86.19,0.5347371086597442,81.88,25.97497534751892
36,0.1,0.410122009305954,86.19,0.6486965631961823,78.61,25.976327896118164
37,0.1,0.41086083461761475,86.154,0.6386423460006714,79.43,25.88392996788025
38,0.1,0.40310846210479734,86.372,0.7274295755386353,77.08,25.981566667556763
39,0.1,0.4116771779251099,86.014,0.606610171508789,80.23,25.923406839370728
40,0.1,0.4057362057685852,86.318,0.62479199924469,79.88,25.937914848327637
41,0.1,0.4103782065010071,86.064,0.856850906085968,72.3,25.940669059753418
42,0.1,0.40218510118484496,86.394,0.5621267330169678,81.41,25.96833372116089
43,0.1,0.3983920800018311,86.616,0.6107937351226806,80.58,25.908472299575806
44,0.1,0.40212725203990934,86.458,0.5484476029872895,81.37,25.95231533050537
45,0.1,0.3989811674690247,86.468,0.5863870009422302,81.58,25.937035083770752
46,0.1,0.4058367587852478,86.314,0.6481144310951233,78.44,25.885953426361084
47,0.1,0.39750559955596926,86.514,0.5506960971832275,82.31,25.97799324989319
48,0.1,0.39055987775802614,86.78,0.5449614542007446,82.05,25.960813283920288
49,0.1,0.39735070830345154,86.756,0.5241579811573028,82.26,25.89597225189209
50,0.010000000000000002,0.3935467010498047,86.652,0.5884438890457153,81.13,25.952805280685425
51,0.010000000000000002,0.23107491276741027,92.192,0.261632066488266,91.42,25.997873306274414
52,0.010000000000000002,0.17979157094717027,93.896,0.24728536777496338,92.01,25.834063291549683
